country,date,lineage,n
United Kingdom,2021-02-27,B.1.1.420,1
United Kingdom,2021-03-05,B.1.351,2
United Kingdom,2021-03-04,B.1.1.318,1
United Kingdom,2020-10-01,B.1.258.10,7
United Kingdom,2021-02-12,B.1.177.4,5
United Kingdom,2022-01-02,BA.1.1.11,1
United Kingdom,2021-01-31,B.1.36.18,1
United Kingdom,2021-01-12,B.1.177.6,10
United Kingdom,2021-12-01,AY.3.3,1
United Kingdom,2022-02-06,B.1.1.7,1
United Kingdom,2020-12-19,B.1.177.16,7
South Korea,2020-12-25,B.1.1.63,1
United Kingdom,2021-02-28,B.1.177.8,2
United Kingdom,2021-02-17,B.1.177.7,11
United Kingdom,2021-02-17,B.1.523,1
United Kingdom,2021-02-17,B.1,2
United Kingdom,2021-03-02,B.1.617.1,1
United Kingdom,2021-02-22,B.1.471,1
United Kingdom,2021-03-01,B.1.351,7
United Kingdom,2021-02-19,B.1.351,3
United Kingdom,2020-03-03,B.1.1.257,7
United Kingdom,2021-02-17,B.1.351,4
United Kingdom,2021-03-01,P.3,2
United Kingdom,2021-02-27,B.1,1
United Kingdom,2021-02-27,B.1.221,1
United Kingdom,2021-02-28,A.23.1,1
United Kingdom,2021-12-08,AY.119,4
United Kingdom,2020-09-29,B.1.177.19,5
United Kingdom,2021-03-04,B.1.36.31,1
United Kingdom,2020-11-10,B.1.1.39,1
South Korea,2020-12-08,B.1.36.24,1
South Korea,2020-09-06,B.1.497,2
South Korea,2021-01-25,B.1.2,2
South Korea,2021-02-02,B.1.497,14
South Korea,2021-02-27,B.1.351,1
South Korea,2021-02-15,B.1.497,7
South Korea,2021-02-15,B.1.429,1
South Korea,2021-02-16,B.1.429,3
South Korea,2021-02-12,B.1.497,15
South Korea,2021-02-14,B.1.497,9
South Korea,2021-02-16,B.1.466,1
United Kingdom,2022-12-17,BQ.1.1,111
United Kingdom,2021-08-31,AY.127,3
South Korea,2020-12-26,Unassigned,1
United Kingdom,2021-08-31,AY.26,2
United Kingdom,2021-02-18,B.1.177.16,1
United Kingdom,2021-02-07,B.1.177.5,2
United Kingdom,2021-03-04,B.1.177.15,2
United Kingdom,2021-03-04,B.1.177.7,1
United Kingdom,2021-03-02,AA.5,1
United Kingdom,2021-03-01,AA.4,1
