"country","lineage","peak_share","peak_share_logit","peak_share_cat"
"Canada","AL.1",0.0613764858008825,-2.72738766107405,"0.10–0.20"
"Canada","AW.1",0.0543747878066943,-2.85594572194175,"0.10–0.20"
"Canada","AY (B.1.617.2)",0.0848086994392611,-2.37873498981094,"0.10–0.20"
"Canada","AY.103",0.128691599765034,-1.91257714764616,"0.10–0.20"
"Canada","AY.122",0.0452427013991572,-3.04941580850132,"<0.10"
"Canada","AY.25.1",0.630027418756611,0.532334442129643,">0.20"
"Canada","AY.25.3",0.0688189332059423,-2.60497484569164,"0.10–0.20"
"Canada","AY.27",0.330183935183598,-0.707353266043354,">0.20"
"Canada","AY.44",0.0296564364575839,-3.48797101492107,"<0.10"
"Canada","AY.74",0.0888215578562226,-2.32810936391382,"0.10–0.20"
"Canada","AY.93",0.0865394506409223,-2.35663980189371,"0.10–0.20"
"Canada","B",0.102642594807654,-2.16820122707637,"0.10–0.20"
"Canada","B.1",0.542675901825703,0.171119949938506,">0.20"
"Canada","B.1.1",0.305687126882779,-0.820360567017703,">0.20"
"Canada","B.1.1.519",0.0543778624414632,-2.85588592687657,"0.10–0.20"
"Canada","B.1.128",0.292182024252894,-0.884809985453837,">0.20"
"Canada","B.1.160",0.178350022288249,-1.52756644972704,"0.10–0.20"
"Canada","B.1.2",0.251752423864156,-1.08928774773761,">0.20"
"Canada","B.1.279",0.530097688156469,0.120536480878712,">0.20"
"Canada","B.1.350",0.104828821881267,-2.1446862084273,"0.10–0.20"
"Canada","B.1.36",0.141317485621558,-1.80439022433123,"0.10–0.20"
"Canada","B.1.36.18",0.0798442642237902,-2.44446489354122,"0.10–0.20"
"Canada","B.1.36.36",0.198308872546633,-1.39689762824821,"0.10–0.20"
"Canada","B.1.36.37",0.0433745680796019,-3.09353863623592,"<0.10"
"Canada","B.1.422",0.220426686820164,-1.26318158209612,">0.20"
"Canada","B.1.438.1",0.233126056804388,-1.19074311380122,">0.20"
"Canada","B.1.525",0.0482774183875612,-2.98130966332984,"<0.10"
"Canada","B.1.564.1",0.0214788527327945,-3.81897354126189,"<0.10"
"Canada","BA.1 (BA.1)",0.242533946787958,-1.13883703480304,">0.20"
"Canada","BA.1.1 (BA.1.1)",0.549069368147823,0.196911269134248,">0.20"
"Canada","BA.1.15 (BA.1.15)",0.104010261629163,-2.15343939641319,"0.10–0.20"
"Canada","BA.1.17 (BA.1.17)",0.0323108954239658,-3.39950636975429,"<0.10"
"Canada","BA.1.18 (BA.1.18)",0.0405971638792706,-3.16261283622629,"<0.10"
"Canada","BA.1.20 (BA.1.20)",0.0471472788377104,-3.00618405485016,"<0.10"
"Canada","BA.2 (BA.2)",0.580020403442463,0.322857150798323,">0.20"
"Canada","BA.2.3 (BA.2.3)",0.220039137965812,-1.26543831117083,">0.20"
"Canada","BA.4 (BA.4)",0.0431278936818629,-3.09949976934166,"<0.10"
"Canada","BA.4.1 (BA.4.1)",0.055946824507696,-2.82578081727705,"0.10–0.20"
"Canada","BA.4.6 (BA.4.6)",0.0678809373580987,-2.61970530682457,"0.10–0.20"
"Canada","BA.5 (BA.5)",0.0165894425487748,-4.0822601885867,"<0.10"
"Canada","BA.5.1 (BA.5.1)",0.171772028600668,-1.57312026170495,"0.10–0.20"
"Canada","BA.5.1.1 (BA.5.1.1)",0.038365158770802,-3.22148507163467,"<0.10"
"Canada","BA.5.1.30 (BA.5.1.30)",0.0210511440919005,-3.83952449019912,"<0.10"
"Canada","BA.5.1.7 (BA.5.1.7)",0.0230925119208059,-3.74488355206924,"<0.10"
"Canada","BA.5.2 (BA.5.2)",0.23389183534535,-1.18646460051577,">0.20"
"Canada","BA.5.5 (BA.5.5)",0.0457615513866814,-3.03746933717468,"<0.10"
"Canada","BA.5.6 (BA.5.6)",0.0394539517273239,-3.19236771023735,"<0.10"
